Tanggal,Ticker,Target_Rata
2026-09-15,A,174.95
2026-09-15,AA,62.98
2026-09-15,AAL,17.85
2026-09-15,AAMI,86.33
2026-09-15,AAON,143.0
2026-09-15,AAP,50.21
2026-09-15,AAPL,325.66
2026-09-15,AAT,23.5
2026-09-15,ABBV,278.61
2026-09-15,ABCB,94.17
2026-09-15,ABG,258.36
2026-09-15,ABM,55.93
2026-09-15,ABNB,182.98
2026-09-15,ABR,5.88
2026-09-15,ABT,120.26
2026-09-15,ACA,146.67
2026-09-15,ACAD,34.0
2026-09-15,ACGL,111.87
2026-09-15,ACHC,33.39
2026-09-15,ACI,14.19
2026-09-15,ACIW,67.33
2026-09-15,ACLS,161.0
2026-09-15,ACM,86.92
2026-09-15,ACMR,117.75
2026-09-15,ACN,183.59
2026-09-15,ACT,50.2
2026-09-15,ADAM,12.12
2026-09-15,ADBE,279.05
2026-09-15,ADC,84.86
2026-09-15,ADEA,43.0
2026-09-15,ADI,470.72
2026-09-15,ADIG,28.5
2026-09-15,ADM,80.1
2026-09-15,ADMA,17.0
2026-09-15,ADNT,29.75
2026-09-15,ADP,287.6
2026-09-15,ADSK,315.75
2026-09-15,ADT,8.23
2026-09-15,ADUS,134.69
2026-09-15,AEE,120.4
2026-09-15,AEIS,429.08
2026-09-15,AEO,18.36
2026-09-15,AEP,144.0
2026-09-15,AES,15.0
2026-09-15,AESI,18.17
2026-09-15,AFG,155.83
2026-09-15,AFL,118.53
2026-09-15,AGCO,124.47
2026-09-15,AGNT,5.38
2026-09-15,AGO,90.33
2026-09-15,AGX,573.0
2026-09-15,AGYS,134.5
2026-09-15,AHCO,9.14
2026-09-15,AHR,64.4
2026-09-15,AIG,88.5
2026-09-15,AIN,65.67
2026-09-15,AIR,145.2
2026-09-15,AIT,400.0
2026-09-15,AIZ,330.0
2026-09-15,AJG,291.72
2026-09-15,AKAM,153.31
2026-09-15,AKR,24.71
2026-09-15,ALAB,389.95
2026-09-15,ALB,172.56
2026-09-15,ALG,204.8
2026-09-15,ALGM,54.82
2026-09-15,ALGN,208.6
2026-09-15,ALGT,130.29
2026-09-15,ALHC,24.08
2026-09-15,ALK,58.53
2026-09-15,ALKS,56.0
2026-09-15,ALL,274.77
2026-09-15,ALLE,174.64
2026-09-15,ALLY,53.77
2026-09-15,ALNY,371.35
2026-09-15,ALRM,63.0
2026-09-15,ALSN,139.4
2026-09-15,ALV,134.06
2026-09-15,AM,24.29
2026-09-15,AMAT,640.89
2026-09-15,AMCR,50.18
2026-09-15,AMD,616.51
2026-09-15,AME,278.33
2026-09-15,AMG,437.57
2026-09-15,AMGN,388.03
2026-09-15,AMH,37.2
2026-09-15,AMKR,76.4
2026-09-15,AMN,35.86
2026-09-15,AMP,579.45
2026-09-15,AMPH,22.5
2026-09-15,AMR,180.0
2026-09-15,AMRX,21.33
2026-09-15,AMSF,35.67
2026-09-15,AMT,215.7
2026-09-15,AMTM,29.58
2026-09-15,AMZN,328.17
2026-09-15,AN,246.69
2026-09-15,ANDE,88.33
2026-09-15,ANET,241.04
2026-09-15,ANF,163.55
2026-09-15,ANIP,108.38
2026-09-15,AON,382.67
2026-09-15,AORT,42.15
2026-09-15,AOS,69.91
2026-09-15,AOSL,43.75
2026-09-15,APA,45.52
2026-09-15,APAM,39.5
2026-09-15,APD,345.11
2026-09-15,APG,52.36
2026-09-15,APH,99.26
2026-09-15,APLE,17.17
2026-09-15,APO,153.47
2026-09-15,APOG,44.0
2026-09-15,APP,501.94
2026-09-15,APPF,231.04
2026-09-15,APTV,66.61
2026-09-15,AR,49.57
2026-09-15,ARCB,170.92
2026-09-15,ARE,53.0
2026-09-15,ARES,147.78
2026-09-15,ARLO,21.0
2026-09-15,ARM,289.2
2026-09-15,ARMK,68.5
2026-09-15,AROC,42.5
2026-09-15,ARR,18.38
2026-09-15,ARW,235.0
2026-09-15,ARWR,110.0
2026-09-15,ASB,34.4
2026-09-15,ASH,80.18
2026-09-15,ASML,2146.42
2026-09-15,ASO,59.85
2026-09-15,ASTE,67.25
2026-09-15,ASTH,51.5
2026-09-15,ATEN,36.67
2026-09-15,ATI,259.89
2026-09-15,ATMU,65.2
2026-09-15,ATO,186.55
2026-09-15,ATR,170.14
2026-09-15,AUB,47.5
2026-09-15,AVA,41.33
2026-09-15,AVAV,224.4
2026-09-15,AVGO,531.85
2026-09-15,AVNT,50.86
2026-09-15,AVT,106.25
2026-09-15,AVTR,14.66
2026-09-15,AVY,201.8
2026-09-15,AWI,210.18
2026-09-15,AWK,141.45
2026-09-15,AWR,84.0
2026-09-15,AX,119.14
2026-09-15,AXON,706.21
2026-09-15,AXP,375.96
2026-09-15,AXTA,39.33
2026-09-15,AYI,398.29
2026-09-15,AZO,3913.57
2026-09-15,AZTA,35.25
2026-09-15,AZZ,164.0
2026-09-15,BA,274.85
2026-09-15,BAC,69.0
2026-09-15,BAH,85.15
2026-09-15,BALL,72.57
2026-09-15,BANC,22.27
2026-09-15,BANF,124.33
2026-09-15,BANR,76.5
2026-09-15,BAX,28.73
2026-09-15,BBT,34.83
2026-09-15,BBWI,24.06
2026-09-15,BBY,86.7
2026-09-15,BC,90.71
2026-09-15,BCC,96.5
2026-09-15,BCO,150.5
2026-09-15,BCPC,209.25
2026-09-15,BDC,156.5
2026-09-15,BDX,195.67
2026-09-15,BEN,35.42
2026-09-15,BF-B,28.26
2026-09-15,BFAM,89.44
2026-09-15,BFH,115.41
2026-09-15,BFS,43.0
2026-09-15,BG,141.78
2026-09-15,BGC,15.5
2026-09-15,BHE,86.0
2026-09-15,BHF,65.0
2026-09-15,BIIB,237.19
2026-09-15,BILL,57.3
2026-09-15,BIO,329.0
2026-09-15,BJ,105.65
2026-09-15,BJRI,74.5
2026-09-15,BKE,46.0
2026-09-15,BKH,84.6
2026-09-15,BKNG,238.68
2026-09-15,BKR,72.22
2026-09-15,BKU,50.27
